State,District,GramPanchayat,AuditDate,FinancialYear,SchemeName,WorkType,AuditedBy,TotalExpenditure,MisappropriationAmount,RecoveryAmount,IssuesFound,IssueType,AuditStatus,BeneficiariesCovered,ManDaysGenerated,WagesPaid,MaterialCost,ComplaintsReceived,ActionTaken
Andhra Pradesh,Vizag,GP_Vizag_25,15-02-2022,2021-22,PMAY-G,School Building,SAU Team B,105543.43,,74853.75,5,Incomplete Work,Closed,326,5916,208144.58,134285.22,15,
Maharashtra,Pune,GP_Pune_96,17-11-2022,2021-22,PMAY-G,Water Tank,SAU Team A,1371843.8,136034.46,79232.12,1,Incomplete Work,Under Review,339,950,940287.81,312906.65,11,FIR Filed
Karnataka,Bangalore,GP_Bangalore_71,21-04-2022,2024-25,PMAY-G,School Building,SAU Team A,1438308.33,73787.46,5375.77,8,Material Overbilling,Completed,342,2372,99558.07,639967.28,5,Suspended Official
Karnataka,Mysore,GP_Mysore_8,12-07-2024,2022-23,SBM-G,School Building,SAU Team A,1392823.24,41157.37,48454.02,4,Ghost Beneficiary,Under Review,357,2965,658313.14,483340.25,20,Suspended Official
Maharashtra,Mumbai,GP_Mumbai_68,11-07-2024,2024-25,PMGSY,Road Construction,SAU Team B,221339.35,10715.76,,6,Incomplete Work,Pending Recovery,89,3600,254402.72,662968.7,2,Warning Issued
Tamil Nadu,Coimbatore,GP_Coimbatore_39,01-11-2022,2021-22,MGNREGA,Pond Desilting,SAU Team B,280873.84,58448.39,,8,Ghost Beneficiary,Closed,382,1281,661805.46,659405.71,21,FIR Filed
Uttar Pradesh,Kanpur,GP_Kanpur_77,16-04-2023,2024-25,MGNREGA,Road Construction,SAU Team B,636343.68,105092.07,25939.99,10,Incomplete Work,Under Review,276,2276,293744.4,552658.88,12,No Action
Karnataka,Bangalore,GP_Bangalore_80,16-06-2024,2022-23,MGNREGA,Pond Desilting,District Audit Unit,1937540.42,118654.48,50022.7,3,Fund Diversion,Pending Recovery,354,306,975009.89,128109.98,18,Suspended Official
Karnataka,Bangalore,GP_Bangalore_96,10-09-2023,2024-25,MGNREGA,Water Tank,District Audit Unit,1851194.21,,73028.86,0,,Under Review,325,6282,605864.95,133770.8,24,FIR Filed
Bihar,Gaya,GP_Gaya_69,13-11-2022,2021-22,NSAP,Water Tank,SAU Team A,1482089.05,20766.4,22478.18,3,Fund Diversion,Closed,442,2199,535074.37,236670.37,18,Suspended Official
Andhra Pradesh,Vizag,GP_Vizag_62,19-08-2023,2024-25,MGNREGA,School Building,SAU Team A,84062.85,60911.44,53899.25,6,Incomplete Work,Under Review,464,2152,993725.42,82154.6,12,Suspended Official
Andhra Pradesh,Vijayawada,GP_Vijayawada_15,12-11-2022,2024-25,PMAY-G,Pond Desilting,SAU Team A,276980.62,97263.66,25474.51,9,Wage Delay,Closed,412,4590,896215.58,368130.28,15,
Andhra Pradesh,Vizag,GP_Vizag_4,05-09-2023,2022-23,PMAY-G,School Building,District Audit Unit,1677036.83,45858.45,16262.73,3,Wage Delay,Pending Recovery,494,4335,872292.85,512155.69,22,No Action
Kerala,Thrissur,GP_Thrissur_38,28-04-2024,2024-25,MGNREGA,School Building,SAU Team A,1129988.57,197.2,43584.16,7,No Muster Roll,Under Review,51,2896,546631.6,697770.55,7,No Action
Rajasthan,Jaipur,GP_Jaipur_18,21-01-2023,2023-24,PMAY-G,Pond Desilting,SAU Team B,1030643.45,134029.5,,0,,ATR Pending,80,2576,238587.99,269056.45,13,
Uttar Pradesh,Lucknow,GP_Lucknow_85,17-06-2024,2021-22,PMGSY,School Building,District Audit Unit,1898281.95,7200.35,26772.58,2,Fund Diversion,Completed,426,1194,657781.2,790306.35,2,Suspended Official
Rajasthan,Udaipur,GP_Udaipur_79,02-12-2022,2023-24,PMGSY,Toilet Construction,District Audit Unit,1159844.41,,68056.62,3,No Muster Roll,Closed,69,315,849984.95,643809.34,22,FIR Filed
Uttar Pradesh,Lucknow,GP_Lucknow_19,12-04-2024,2021-22,SBM-G,School Building,SAU Team A,937960.06,87559.84,56012.78,0,Fund Diversion,Closed,83,5313,318716.87,471171.52,12,Suspended Official
Uttar Pradesh,Kanpur,GP_Kanpur_64,03-12-2023,2024-25,PMGSY,School Building,SAU Team B,900281.09,68089.92,61337.91,4,Fund Diversion,Completed,182,1517,908653.62,332551.78,18,FIR Filed
Andhra Pradesh,Vijayawada,GP_Vijayawada_52,19-07-2024,2023-24,SBM-G,Toilet Construction,SAU Team A,583734.34,140395.97,16712.59,10,,Closed,266,5734,507062.91,333480.07,17,No Action
Kerala,Ernakulam,GP_Ernakulam_11,28-04-2024,2024-25,NSAP,Pond Desilting,District Audit Unit,656685.33,44440.48,67726.5,1,,Completed,432,4538,309809.43,,19,FIR Filed
Tamil Nadu,Chennai,GP_Chennai_42,03-03-2022,2023-24,PMGSY,School Building,SAU Team B,450280.28,,45533.98,2,Fund Diversion,Under Review,142,4136,267856.3,622242.61,14,Recovery Initiated
Maharashtra,Pune,GP_Pune_56,25-08-2022,2024-25,PMAY-G,Water Tank,SAU Team B,661156.06,79482.95,56583.54,0,No Muster Roll,Under Review,468,7785,897787.08,401644.58,6,Warning Issued
Tamil Nadu,Chennai,GP_Chennai_51,24-07-2024,2023-24,SBM-G,Toilet Construction,District Audit Unit,675363.61,62271.68,26837.12,6,No Muster Roll,Under Review,403,4527,765065.82,113818.32,7,Recovery Initiated
Andhra Pradesh,Vizag,GP_Vizag_47,04-05-2024,2022-23,PMAY-G,School Building,District Audit Unit,97268.51,106064.41,8482.18,2,Incomplete Work,Completed,386,7723,816843.27,280124.87,11,No Action
Bihar,Gaya,GP_Gaya_13,04-06-2023,2021-22,PMAY-G,Pond Desilting,SAU Team A,85622.56,36039.7,72870.02,9,Incomplete Work,ATR Pending,296,816,604986.63,335798.97,24,Suspended Official
Karnataka,Bangalore,GP_Bangalore_37,25-01-2022,2024-25,NSAP,Toilet Construction,District Audit Unit,849274.06,125339.27,42094.03,9,No Muster Roll,Closed,204,7356,341928.94,38031.89,20,No Action
Kerala,Thrissur,GP_Thrissur_21,25-08-2024,2024-25,MGNREGA,Toilet Construction,SAU Team A,258174.84,43715.86,63542.46,2,,Closed,26,5310,745938.73,48019.72,20,FIR Filed
Tamil Nadu,Chennai,GP_Chennai_15,23-01-2023,2024-25,SBM-G,Road Construction,SAU Team A,1187699.49,102720.55,2471.77,2,Ghost Beneficiary,Closed,268,2234,389410.91,635562.97,7,FIR Filed
Uttar Pradesh,Kanpur,GP_Kanpur_84,04-01-2022,2022-23,MGNREGA,School Building,District Audit Unit,1345452.95,18917.41,2367.49,11,Wage Delay,Completed,74,7174,526538.23,147009.99,17,Warning Issued
Uttar Pradesh,Kanpur,GP_Kanpur_76,03-02-2023,2021-22,PMGSY,Road Construction,District Audit Unit,987986.62,37277.06,19926.15,8,No Muster Roll,Completed,298,3596,801570.58,522185.69,3,FIR Filed
Andhra Pradesh,Vizag,GP_Vizag_47,02-09-2022,2021-22,PMGSY,School Building,SAU Team A,1396802.63,61722.71,5924.52,5,Material Overbilling,Completed,114,4859,422318.53,777872.18,5,Recovery Initiated
Maharashtra,Mumbai,GP_Mumbai_86,10-11-2022,2021-22,MGNREGA,Toilet Construction,SAU Team A,190295.4,64297.18,79473.61,2,Material Overbilling,Under Review,424,6431,75100.42,,23,
Andhra Pradesh,Vijayawada,GP_Vijayawada_44,11-10-2022,2023-24,NSAP,Road Construction,SAU Team A,809304.37,,71068.11,6,No Muster Roll,Under Review,176,1866,628471.91,65066.7,19,Suspended Official
Andhra Pradesh,Vizag,GP_Vizag_3,26-05-2023,2024-25,SBM-G,Road Construction,SAU Team A,1736274,124274.96,41197.9,10,No Muster Roll,Under Review,199,7686,658401.22,303522.13,2,
Andhra Pradesh,Vizag,GP_Vizag_22,02-06-2024,2022-23,PMGSY,School Building,SAU Team B,1459162.04,121778.73,32787.69,5,Fund Diversion,Pending Recovery,110,1071,676408.94,141290.83,22,Warning Issued
Andhra Pradesh,Vizag,GP_Vizag_17,12-04-2023,2022-23,MGNREGA,School Building,SAU Team A,1334632.93,,42035.25,2,,Completed,244,3627,255566.47,326976.8,12,Warning Issued
Kerala,Thrissur,GP_Thrissur_86,13-06-2022,2021-22,SBM-G,Toilet Construction,SAU Team A,1209098.3,133547.13,75992.21,3,Incomplete Work,Completed,401,6851,551998.24,,20,Warning Issued
Kerala,Ernakulam,GP_Ernakulam_16,13-07-2023,2021-22,PMAY-G,Toilet Construction,SAU Team A,1478899.23,149053.38,74806.95,3,Incomplete Work,Under Review,328,5932,463117.54,609705.8,24,No Action
Bihar,Patna,GP_Patna_60,17-04-2024,2024-25,SBM-G,Toilet Construction,District Audit Unit,1678296,4670.36,28377.58,2,Material Overbilling,Completed,258,5917,275618.9,539436.43,15,
Bihar,Patna,GP_Patna_21,15-03-2024,2024-25,NSAP,Water Tank,SAU Team B,1466055.16,20009.49,,2,Incomplete Work,Under Review,96,6853,235356.24,633858.67,20,Suspended Official
Bihar,Gaya,GP_Gaya_27,24-04-2024,2024-25,SBM-G,School Building,District Audit Unit,1019423.9,144110.68,64705.85,9,Wage Delay,Under Review,425,103,678097.23,237393.83,14,Suspended Official
Uttar Pradesh,Kanpur,GP_Kanpur_70,10-05-2024,2022-23,PMGSY,Pond Desilting,SAU Team B,1210640.35,,45341.17,6,Ghost Beneficiary,Closed,406,121,440375.03,759599.12,11,FIR Filed
Kerala,Ernakulam,GP_Ernakulam_97,02-12-2022,2024-25,PMGSY,Road Construction,SAU Team A,1962644.57,98358.67,,6,Wage Delay,Completed,422,3142,419456.04,497605.27,12,
Karnataka,Mysore,GP_Mysore_94,23-08-2022,2023-24,NSAP,Toilet Construction,SAU Team A,173034.63,66078.26,8735.12,4,Ghost Beneficiary,Under Review,285,1792,996192.87,476185.76,13,Suspended Official
Kerala,Thrissur,GP_Thrissur_33,17-08-2024,2024-25,SBM-G,Water Tank,SAU Team B,1327585.68,149851.42,16917.78,10,No Muster Roll,Closed,333,6555,834564.2,502260.72,9,No Action
Bihar,Patna,GP_Patna_62,26-01-2023,2021-22,PMAY-G,Pond Desilting,SAU Team B,1790457.61,67422.02,66945.99,2,Material Overbilling,Completed,197,6469,525456.84,412728.86,11,Warning Issued
Kerala,Thrissur,GP_Thrissur_16,25-11-2023,2021-22,PMAY-G,Water Tank,SAU Team A,254043.72,84844.83,51661.2,5,Fund Diversion,Completed,159,4513,736243.61,18726.62,0,No Action
Kerala,Thrissur,GP_Thrissur_68,28-02-2022,2021-22,NSAP,School Building,SAU Team A,1901694.2,118536.67,12823.48,11,Material Overbilling,Under Review,125,4316,664706.24,383134.1,5,No Action
Andhra Pradesh,Vizag,GP_Vizag_34,08-01-2024,2024-25,MGNREGA,Water Tank,District Audit Unit,567054.65,,21905.65,3,Material Overbilling,Closed,420,7629,849351.83,569818.25,12,FIR Filed
Kerala,Thrissur,GP_Thrissur_64,18-12-2023,2022-23,PMAY-G,Toilet Construction,SAU Team A,1603581.9,104955.95,18841.38,4,Ghost Beneficiary,ATR Pending,155,5395,871028.29,201294.31,4,Warning Issued
Maharashtra,Pune,GP_Pune_85,06-07-2022,2023-24,MGNREGA,Pond Desilting,District Audit Unit,394675.89,,54404.91,3,Wage Delay,ATR Pending,19,5659,26850.97,70833.9,10,Warning Issued
Karnataka,Bangalore,GP_Bangalore_38,24-08-2023,2021-22,PMGSY,Road Construction,SAU Team A,1308395.09,58563.5,43731.96,7,Fund Diversion,Closed,48,1271,355436.21,243834.46,2,No Action
Karnataka,Mysore,GP_Mysore_36,02-06-2024,2021-22,PMAY-G,School Building,District Audit Unit,1676841.9,56916.81,5213.76,7,Material Overbilling,Under Review,320,4962,764590.4,,20,Recovery Initiated
Bihar,Patna,GP_Patna_24,11-07-2024,2021-22,PMAY-G,Toilet Construction,District Audit Unit,1347009.08,15494.02,8289.5,8,Material Overbilling,Under Review,389,305,190684.33,164739.83,1,Suspended Official
Karnataka,Mysore,GP_Mysore_66,22-05-2022,2024-25,PMAY-G,Water Tank,SAU Team B,188452.11,,7557.29,9,Ghost Beneficiary,Under Review,466,4001,471672.17,743788.32,7,Warning Issued
Uttar Pradesh,Lucknow,GP_Lucknow_7,06-03-2022,2023-24,PMGSY,Water Tank,District Audit Unit,1816459.02,86259.23,,11,Ghost Beneficiary,Closed,315,2528,22920.53,175176.52,23,Recovery Initiated
Bihar,Gaya,GP_Gaya_97,20-03-2024,2023-24,MGNREGA,Toilet Construction,SAU Team A,300582.76,37027.34,51115.65,6,Fund Diversion,ATR Pending,395,5605,202375.62,416734.1,10,Suspended Official
Kerala,Ernakulam,GP_Ernakulam_6,10-07-2023,2021-22,SBM-G,Water Tank,SAU Team A,1889306.85,74628,73542.18,1,Wage Delay,ATR Pending,79,4599,825546.6,568474.02,18,No Action
Rajasthan,Udaipur,GP_Udaipur_6,16-08-2024,2024-25,SBM-G,Road Construction,SAU Team B,656775.58,26225.89,,5,Incomplete Work,Under Review,315,7536,288566.85,311068.88,24,No Action
Kerala,Ernakulam,GP_Ernakulam_16,02-08-2024,2024-25,SBM-G,Water Tank,SAU Team A,1447279.6,145420.92,17776.58,8,Fund Diversion,Under Review,98,2675,402668.87,26295.04,21,Warning Issued
Andhra Pradesh,Vizag,GP_Vizag_88,21-03-2023,2022-23,PMAY-G,Pond Desilting,SAU Team A,657111.52,77700.35,1923.08,9,Incomplete Work,Pending Recovery,309,1764,420267.94,300356.28,1,FIR Filed
Bihar,Gaya,GP_Gaya_88,21-05-2024,2021-22,MGNREGA,Water Tank,SAU Team B,1012980.08,21759.81,76780.17,9,Incomplete Work,Completed,331,7175,896588.49,87629.51,17,
Bihar,Gaya,GP_Gaya_73,30-08-2023,2022-23,PMGSY,School Building,SAU Team B,450279.77,39763.71,50662.68,1,Material Overbilling,Pending Recovery,461,1155,371986.94,129077.56,3,Recovery Initiated
Andhra Pradesh,Vizag,GP_Vizag_58,05-06-2024,2023-24,PMGSY,Toilet Construction,District Audit Unit,69643.64,137716.7,5254.47,9,Material Overbilling,Completed,35,4945,572121.15,,4,Warning Issued
Andhra Pradesh,Vijayawada,GP_Vijayawada_47,08-06-2024,2024-25,PMGSY,Road Construction,SAU Team B,1940019.18,15060.17,74519.67,10,Incomplete Work,Completed,18,2901,473714.19,581726.5,9,No Action
Andhra Pradesh,Vizag,GP_Vizag_22,18-05-2023,2022-23,PMGSY,School Building,District Audit Unit,1915280.24,22019.53,32672.86,1,Wage Delay,Completed,114,5758,464167.52,126914.88,18,Suspended Official
Rajasthan,Jaipur,GP_Jaipur_78,23-04-2022,2022-23,MGNREGA,Pond Desilting,SAU Team B,1800872.59,13863.17,49985.85,9,Wage Delay,ATR Pending,13,3389,637807.71,222798.17,8,No Action
Rajasthan,Udaipur,GP_Udaipur_54,05-09-2024,2023-24,PMAY-G,Road Construction,SAU Team B,1303366.23,103580.78,50556.6,0,Ghost Beneficiary,Pending Recovery,479,7051,553746.27,288524.09,12,Suspended Official
Karnataka,Bangalore,GP_Bangalore_87,05-09-2023,2021-22,MGNREGA,Water Tank,SAU Team A,1404838.55,107201.53,7346.66,9,No Muster Roll,Pending Recovery,44,2780,379800.3,512971.57,2,Warning Issued
Tamil Nadu,Coimbatore,GP_Coimbatore_75,11-03-2022,2024-25,PMAY-G,Water Tank,SAU Team A,1309291.2,146203.49,40604.82,11,Ghost Beneficiary,Closed,98,4102,94468.88,604919.81,22,FIR Filed
Andhra Pradesh,Vijayawada,GP_Vijayawada_34,17-04-2024,2021-22,PMAY-G,Water Tank,District Audit Unit,607544.86,104434.59,66789.26,10,,Completed,371,5132,310005.33,590883.88,4,
Tamil Nadu,Chennai,GP_Chennai_8,03-09-2024,2022-23,PMAY-G,Road Construction,SAU Team B,671278.52,7152.47,9231.22,4,Ghost Beneficiary,Completed,216,7542,200504.76,57995.45,14,No Action
Andhra Pradesh,Vizag,GP_Vizag_72,15-08-2022,2022-23,NSAP,Pond Desilting,SAU Team B,824554.24,78303.51,1645.72,1,Ghost Beneficiary,ATR Pending,450,4023,124405.96,546768.77,19,No Action
Bihar,Gaya,GP_Gaya_59,08-01-2024,2022-23,MGNREGA,Water Tank,District Audit Unit,154030.54,68894.03,52225.44,0,Wage Delay,Under Review,358,2196,516234.33,149107.91,8,Recovery Initiated
Kerala,Ernakulam,GP_Ernakulam_53,29-11-2022,2022-23,MGNREGA,Pond Desilting,District Audit Unit,365943.71,122469.61,47731.14,7,Ghost Beneficiary,ATR Pending,493,2436,788259.86,523769.52,20,Warning Issued
Tamil Nadu,Chennai,GP_Chennai_82,01-02-2022,2022-23,PMAY-G,School Building,District Audit Unit,897125.36,38962.64,16533.84,10,No Muster Roll,Completed,13,4083,473587.86,,4,No Action
Kerala,Ernakulam,GP_Ernakulam_28,25-06-2023,2023-24,SBM-G,School Building,SAU Team A,851942.18,14393.36,57630.5,0,,Completed,253,7045,622228.31,314375.09,2,Suspended Official
Tamil Nadu,Chennai,GP_Chennai_66,01-09-2024,2021-22,NSAP,School Building,SAU Team A,153400.25,129661.95,62799.93,0,Incomplete Work,Under Review,378,7783,359348.78,550034.53,21,
Kerala,Ernakulam,GP_Ernakulam_62,11-01-2023,2021-22,MGNREGA,Water Tank,SAU Team B,571292.62,112918.94,,10,Wage Delay,Completed,351,3951,96229.5,342509.83,6,No Action
Karnataka,Mysore,GP_Mysore_99,26-11-2023,2022-23,SBM-G,Road Construction,District Audit Unit,1836059.1,63684.19,37383.66,5,Ghost Beneficiary,ATR Pending,168,4483,966245.94,74621.3,1,Recovery Initiated
Rajasthan,Udaipur,GP_Udaipur_99,18-07-2023,2024-25,SBM-G,School Building,SAU Team B,1983291.8,32084.36,,9,,ATR Pending,321,919,369073.22,249287,13,No Action
Kerala,Thrissur,GP_Thrissur_4,04-04-2024,2021-22,NSAP,Pond Desilting,SAU Team B,1866273.28,116403.33,34033.24,7,Ghost Beneficiary,Closed,239,1015,617630.18,111086.95,24,Suspended Official
Kerala,Thrissur,GP_Thrissur_70,26-07-2023,2023-24,NSAP,Toilet Construction,SAU Team B,830626.89,,65143.56,6,Ghost Beneficiary,ATR Pending,33,327,532349.83,440435.65,9,No Action
Tamil Nadu,Chennai,GP_Chennai_66,20-08-2023,2023-24,MGNREGA,Pond Desilting,SAU Team A,1640633.08,85034.89,,6,Material Overbilling,Completed,442,4173,83935.65,671752.12,17,Recovery Initiated
Andhra Pradesh,Vizag,GP_Vizag_10,23-07-2024,2024-25,NSAP,Pond Desilting,District Audit Unit,1457941.23,30048.07,17525.33,9,Fund Diversion,Under Review,355,386,184343.38,765741.66,13,
Maharashtra,Pune,GP_Pune_20,13-01-2024,2021-22,PMAY-G,Water Tank,SAU Team B,484800.25,75537.27,14734.44,10,Fund Diversion,Closed,144,1565,53512.56,513598.98,17,No Action
Uttar Pradesh,Kanpur,GP_Kanpur_15,14-07-2022,2024-25,MGNREGA,Pond Desilting,SAU Team B,1534707.9,,32603.44,5,Wage Delay,Pending Recovery,109,6123,384376.62,720019.79,6,Warning Issued
Bihar,Patna,GP_Patna_55,21-09-2022,2024-25,NSAP,Toilet Construction,District Audit Unit,678768.32,97587.75,71244.09,3,Fund Diversion,ATR Pending,117,7564,588237.55,460228.46,21,
Andhra Pradesh,Vizag,GP_Vizag_70,18-03-2023,2023-24,SBM-G,School Building,SAU Team A,298865.21,108279.64,15848.7,1,Wage Delay,Pending Recovery,91,3630,595638.47,270755.93,17,Recovery Initiated
Karnataka,Bangalore,GP_Bangalore_64,04-04-2024,2023-24,SBM-G,School Building,District Audit Unit,702315.9,113389.1,36672.4,4,Fund Diversion,ATR Pending,377,2398,92443.28,196803.07,5,Recovery Initiated
Bihar,Gaya,GP_Gaya_10,05-05-2022,2024-25,PMGSY,Toilet Construction,SAU Team A,391144.73,16739.31,15846.38,4,Ghost Beneficiary,Completed,342,3814,902566.37,310273.43,23,Recovery Initiated
Kerala,Ernakulam,GP_Ernakulam_21,30-05-2022,2022-23,PMAY-G,School Building,SAU Team A,1709854.4,39715.08,76569.94,4,,ATR Pending,359,2311,822005.59,473226.38,12,Suspended Official
Uttar Pradesh,Lucknow,GP_Lucknow_89,07-09-2022,2022-23,MGNREGA,Pond Desilting,District Audit Unit,593984.08,,36485.37,9,Incomplete Work,Completed,82,1932,892339.79,613752.38,7,FIR Filed
Karnataka,Mysore,GP_Mysore_9,25-07-2024,2024-25,PMAY-G,Pond Desilting,District Audit Unit,671416.55,84834.04,18058.46,1,Ghost Beneficiary,ATR Pending,451,4499,734276.3,210084.01,12,Recovery Initiated
Tamil Nadu,Coimbatore,GP_Coimbatore_75,24-04-2023,2022-23,NSAP,Toilet Construction,SAU Team A,1957734.68,87691.25,20310.2,1,Material Overbilling,Closed,349,4901,747528.86,207146.39,6,No Action
Karnataka,Mysore,GP_Mysore_43,16-01-2023,2023-24,PMAY-G,School Building,District Audit Unit,1137906.52,110630.73,58060.52,1,Wage Delay,Closed,476,1960,787684.37,172761.62,24,FIR Filed
Karnataka,Bangalore,GP_Bangalore_12,13-01-2023,2021-22,PMGSY,Pond Desilting,SAU Team B,1251275.13,121125.38,60951.66,9,,ATR Pending,441,1804,36592.14,539623.72,21,Suspended Official
Tamil Nadu,Chennai,GP_Chennai_76,03-07-2024,2024-25,SBM-G,School Building,District Audit Unit,725676.73,40894.58,28997.06,4,No Muster Roll,Closed,434,6353,223144.83,230914.28,19,Warning Issued
Maharashtra,Pune,GP_Pune_96,20-02-2024,2021-22,PMGSY,School Building,District Audit Unit,1571505.7,54061.77,30268.43,2,,Closed,75,1371,316985.81,,15,Suspended Official
Karnataka,Bangalore,GP_Bangalore_3,07-07-2022,2023-24,PMAY-G,Water Tank,District Audit Unit,1529878.89,15796.88,34033.21,0,Wage Delay,Completed,473,1079,55834.46,590152.92,20,FIR Filed
Maharashtra,Pune,GP_Pune_83,25-04-2023,2021-22,NSAP,Road Construction,SAU Team A,1790847.96,16227.93,54390.2,4,No Muster Roll,Closed,123,4776,631904.91,722314.1,24,FIR Filed
Karnataka,Mysore,GP_Mysore_20,11-09-2024,2023-24,PMGSY,Pond Desilting,SAU Team B,1516639.53,114425.01,74019.76,4,Incomplete Work,Completed,324,4298,475202.82,290937.3,10,Suspended Official
Uttar Pradesh,Kanpur,GP_Kanpur_30,09-09-2024,2023-24,MGNREGA,Water Tank,SAU Team B,1617689.89,140717.75,,4,Material Overbilling,Completed,174,781,152295.66,152054.3,22,No Action
Andhra Pradesh,Vizag,GP_Vizag_66,08-07-2024,2022-23,SBM-G,Toilet Construction,SAU Team A,113297.28,20961.1,22722.82,6,Wage Delay,Under Review,323,369,488987.54,53260.35,13,Warning Issued
Tamil Nadu,Chennai,GP_Chennai_25,10-03-2024,2024-25,PMAY-G,Toilet Construction,SAU Team B,1609983.76,144938.06,65172.36,6,Material Overbilling,ATR Pending,442,4964,434111.41,644273.25,14,Warning Issued
Bihar,Gaya,GP_Gaya_80,07-01-2022,2024-25,PMGSY,School Building,SAU Team B,1524339.64,95.92,,3,No Muster Roll,Completed,145,3356,95946.1,163341.98,5,Warning Issued
Andhra Pradesh,Vijayawada,GP_Vijayawada_57,20-07-2022,2023-24,PMAY-G,Road Construction,SAU Team B,1772109.47,61601.44,17319.38,4,,Closed,233,1085,595034.98,153170.35,1,FIR Filed
Kerala,Ernakulam,GP_Ernakulam_16,07-09-2022,2024-25,MGNREGA,School Building,District Audit Unit,189330.19,37598.4,,3,,ATR Pending,376,4595,336856.64,133322.95,15,
Karnataka,Mysore,GP_Mysore_35,11-02-2024,2022-23,NSAP,Road Construction,SAU Team A,1201108.42,138187.22,34548.23,2,No Muster Roll,Under Review,407,2938,485608.74,,1,Recovery Initiated
Tamil Nadu,Chennai,GP_Chennai_45,12-07-2022,2023-24,PMGSY,School Building,District Audit Unit,1061676.21,120464.19,,11,No Muster Roll,ATR Pending,318,6129,838241.99,198324.7,24,Recovery Initiated
Rajasthan,Jaipur,GP_Jaipur_86,10-09-2022,2022-23,MGNREGA,Water Tank,SAU Team B,1097000.36,86236.59,67273.99,0,No Muster Roll,Completed,204,4913,535996,207759.47,20,Suspended Official
Kerala,Thrissur,GP_Thrissur_45,07-03-2022,2024-25,PMGSY,Road Construction,District Audit Unit,1525068.68,69680.04,27549.71,7,Wage Delay,Under Review,195,5952,979016,292475.46,6,
Tamil Nadu,Coimbatore,GP_Coimbatore_90,13-05-2024,2021-22,PMAY-G,Toilet Construction,District Audit Unit,852533.71,130222.27,60448.91,8,No Muster Roll,Closed,330,1167,421946.73,186489.65,11,No Action
Maharashtra,Mumbai,GP_Mumbai_57,04-05-2024,2023-24,NSAP,Water Tank,SAU Team A,539240.13,43172.94,74918.14,3,Wage Delay,ATR Pending,488,5455,128219.08,25040.78,1,No Action
Bihar,Gaya,GP_Gaya_56,03-01-2022,2022-23,NSAP,School Building,SAU Team A,134739.68,140290.52,73752.59,2,Material Overbilling,Under Review,20,2458,305042.77,762669.81,3,Suspended Official
Bihar,Patna,GP_Patna_59,09-06-2023,2023-24,NSAP,School Building,SAU Team A,210567.22,68675.29,53781.88,8,Incomplete Work,Under Review,417,2984,664640.34,620316.19,19,No Action
Bihar,Gaya,GP_Gaya_78,18-04-2022,2021-22,PMAY-G,Toilet Construction,SAU Team B,1498853.74,45922.3,28424.29,0,No Muster Roll,Closed,376,2179,76177.79,50271.64,1,FIR Filed
